Nr,Sp,Peso_gr,Longitud_mm,Diametro_mm,Cond
62,ER,4.75,24.75,17.22,Q3
63,ER,4.8,24.1,17.89,Q3
64,ER,3.95,24.35,15.9,Q1
65,ER,5.17,23.65,18.56,Q4
66,ER,4.77,23.24,18.24,Q3
67,ER,5.25,25.62,18.69,Q4
68,ER,4.87,22.5,18.2,Q3
69,ER,5.66,24.12,19.62,Q4
70,ER,5.34,25.85,18.17,Q4
71,ER,5.39,24.38,18.9,Q4
72,ER,3.43,21.68,16.32,Q1
73,ER,5.2,24.08,18.76,Q4
74,ER,4.26,24.6,16.91,Q2
75,ER,4.85,25.22,18.68,Q3
76,ER,3.6,22.62,16.33,Q1
77,ER,3.72,22.51,17.14,Q1
78,ER,4.62,25.48,17.58,Q3
79,ER,3.56,23.89,16.23,Q1
